trial,train_size,embed_dim,hidden_dim,alpha,learning_rate,accuracy,train_accuracy,batch_pos,batch_neg
1,104,10,100,1e-05,0.01,0.536,0.7115384615384616,62,42
1,204,10,100,1e-05,0.01,0.518,0.7058823529411765,120,84
1,304,10,100,1e-05,0.01,0.512,0.6447368421052632,175,129
1,404,10,100,1e-05,0.01,0.514,0.7004950495049505,233,171
1,504,10,100,1e-05,0.01,0.52,0.6587301587301587,284,220
1,604,10,100,1e-05,0.01,0.488,0.652317880794702,333,271
1,704,10,100,1e-05,0.01,0.478,0.6974431818181818,383,321
1,804,10,100,1e-05,0.01,0.522,0.6902985074626866,426,378
1,904,10,100,1e-05,0.01,0.536,0.7035398230088495,475,429
1,1004,10,100,1e-05,0.01,0.54,0.6942231075697212,520,484
1,1104,10,100,1e-05,0.01,0.51,0.6648550724637681,567,537
1,1204,10,100,1e-05,0.01,0.502,0.7084717607973422,610,594
1,1304,10,100,1e-05,0.01,0.508,0.6993865030674846,666,638
1,1404,10,100,1e-05,0.01,0.524,0.7250712250712251,714,690
1,1504,10,100,1e-05,0.01,0.472,0.6788563829787234,769,735
1,1604,10,100,1e-05,0.01,0.506,0.720074812967581,811,793
1,1704,10,100,1e-05,0.01,0.494,0.7294600938967136,860,844
1,1804,10,100,1e-05,0.01,0.52,0.7682926829268293,910,894
1,1904,10,100,1e-05,0.01,0.544,0.7883403361344538,955,949
1,2004,10,100,1e-05,0.01,0.57,0.7949101796407185,1007,997
1,2104,10,100,1e-05,0.01,0.562,0.7604562737642585,1056,1048
1,2204,10,100,1e-05,0.01,0.59,0.7849364791288567,1104,1100
1,2304,10,100,1e-05,0.01,0.61,0.8585069444444444,1152,1152
1,2404,10,100,1e-05,0.01,0.58,0.7961730449251248,1202,1202
1,2504,10,100,1e-05,0.01,0.64,0.8430511182108626,1245,1259
1,2604,10,100,1e-05,0.01,0.656,0.8655913978494624,1292,1312
1,2704,10,100,1e-05,0.01,0.684,0.8579881656804734,1347,1357
1,2804,10,100,1e-05,0.01,0.698,0.8641226818830242,1403,1401
1,2904,10,100,1e-05,0.01,0.72,0.8966942148760331,1457,1447
1,3004,10,100,1e-05,0.01,0.73,0.9184420772303595,1508,1496
1,3104,10,100,1e-05,0.01,0.744,0.9085051546391752,1566,1538
1,3204,10,100,1e-05,0.01,0.746,0.9447565543071161,1620,1584
1,3304,10,100,1e-05,0.01,0.764,0.9530871670702179,1666,1638
1,3404,10,100,1e-05,0.01,0.74,0.9086368977673326,1724,1680
1,3504,10,100,1e-05,0.01,0.716,0.8433219178082192,1780,1724
1,3604,10,100,1e-05,0.01,0.758,0.8842952275249722,1826,1778
1,3704,10,100,1e-05,0.01,0.804,0.9117170626349892,1866,1838
1,3804,10,100,1e-05,0.01,0.786,0.9292849631966351,1909,1895
1,3904,10,100,1e-05,0.01,0.822,0.9533811475409836,1951,1953
1,4004,10,100,1e-05,0.01,0.818,0.9517982017982018,1996,2008
1,4104,10,100,1e-05,0.01,0.844,0.9551656920077972,2051,2053
1,4204,10,100,1e-05,0.01,0.852,0.9643196955280685,2105,2099
1,4304,10,100,1e-05,0.01,0.868,0.9767657992565055,2144,2160
1,4404,10,100,1e-05,0.01,0.866,0.9775204359673024,2184,2220
1,4504,10,100,1e-05,0.01,0.874,0.9757992895204263,2235,2269
1,4604,10,100,1e-05,0.01,0.874,0.9767593397046047,2292,2312
1,4704,10,100,1e-05,0.01,0.852,0.9844812925170068,2342,2362
1,4804,10,100,1e-05,0.01,0.856,0.9764779350541216,2396,2408
1,4904,10,100,1e-05,0.01,0.866,0.9818515497553018,2438,2466
1,5004,10,100,1e-05,0.01,0.844,0.9596322941646682,2500,2504
1,5104,10,100,1e-05,0.01,0.868,0.9706112852664577,2557,2547
1,5204,10,100,1e-05,0.01,0.872,0.9692544196771714,2613,2591
1,5304,10,100,1e-05,0.01,0.896,0.985105580693816,2660,2644
1,5404,10,100,1e-05,0.01,0.9,0.9729829755736491,2703,2701
1,5504,10,100,1e-05,0.01,0.902,0.9798328488372093,2744,2760
1,5604,10,100,1e-05,0.01,0.874,0.9486081370449678,2794,2810
1,5704,10,100,1e-05,0.01,0.866,0.9197054698457223,2845,2859
1,5804,10,100,1e-05,0.01,0.902,0.9681254307374225,2893,2911
1,5904,10,100,1e-05,0.01,0.916,0.9817073170731707,2943,2961
1,6004,10,100,1e-05,0.01,0.924,0.9848434377081945,2988,3016
1,6104,10,100,1e-05,0.01,0.93,0.984600262123198,3024,3080
1,6204,10,100,1e-05,0.01,0.92,0.9819471308833011,3072,3132
1,6304,10,100,1e-05,0.01,0.95,0.9949238578680203,3116,3188
1,6404,10,100,1e-05,0.01,0.95,0.9925046845721424,3164,3240
1,6504,10,100,1e-05,0.01,0.952,0.9904674046740467,3222,3282
1,6604,10,100,1e-05,0.01,0.942,0.9940944881889764,3269,3335
1,6704,10,100,1e-05,0.01,0.942,0.988961813842482,3318,3386
1,6804,10,100,1e-05,0.01,0.946,0.9930922986478542,3367,3437
1,6904,10,100,1e-05,0.01,0.952,0.9957995365005794,3418,3486
1,7004,10,100,1e-05,0.01,0.948,0.9951456310679612,3471,3533
1,7104,10,100,1e-05,0.01,0.948,0.9959177927927928,3524,3580
1,7204,10,100,1e-05,0.01,0.946,0.993753470294281,3569,3635
1,7304,10,100,1e-05,0.01,0.946,0.9964403066812705,3621,3683
1,7404,10,100,1e-05,0.01,0.944,0.9933819556996218,3665,3739
1,7504,10,100,1e-05,0.01,0.946,0.9930703624733476,3721,3783
1,7604,10,100,1e-05,0.01,0.948,0.9850078905839033,3768,3836
1,7704,10,100,1e-05,0.01,0.91,0.9685877466251298,3818,3886
1,7804,10,100,1e-05,0.01,0.938,0.9852639671963096,3871,3933
1,7904,10,100,1e-05,0.01,0.952,0.9944331983805668,3916,3988
1,8004,10,100,1e-05,0.01,0.952,0.9963768115942029,3972,4032
1,8104,10,100,1e-05,0.01,0.954,0.9960513326752222,4024,4080
1,8204,10,100,1e-05,0.01,0.91,0.962579229644076,4074,4130
1,8304,10,100,1e-05,0.01,0.91,0.9375,4125,4179
1,8404,10,100,1e-05,0.01,0.948,0.9740599714421704,4178,4226
1,8504,10,100,1e-05,0.01,0.952,0.9881232361241769,4233,4271
1,8604,10,100,1e-05,0.01,0.962,0.9933751743375174,4283,4321
1,8704,10,100,1e-05,0.01,0.958,0.9935661764705882,4333,4371
1,8804,10,100,1e-05,0.01,0.96,0.9960245343025897,4383,4421
1,8904,10,100,1e-05,0.01,0.97,0.9946091644204852,4430,4474
1,9004,10,100,1e-05,0.01,0.966,0.9950022212350067,4481,4523
1,9104,10,100,1e-05,0.01,0.97,0.9985720562390158,4531,4573
1,9204,10,100,1e-05,0.01,0.966,0.9967405475880052,4586,4618
1,9304,10,100,1e-05,0.01,0.964,0.9975279449699054,4638,4666
1,9404,10,100,1e-05,0.01,0.97,0.9989366227137388,4681,4723
1,9504,10,100,1e-05,0.01,0.972,0.9971590909090909,4740,4764
1,9604,10,100,1e-05,0.01,0.97,0.9961474385672636,4790,4814
1,9704,10,100,1e-05,0.01,0.964,0.9869126133553174,4836,4868
