trial,train_size,embed_dim,hidden_dim,alpha,learning_rate,accuracy,train_accuracy,batch_pos,batch_neg
1,104,10,100,1e-05,0.01,0.504,0.5576923076923077,52,52
1,204,10,100,1e-05,0.01,0.53,0.6519607843137255,98,106
1,304,10,100,1e-05,0.01,0.532,0.618421052631579,146,158
1,404,10,100,1e-05,0.01,0.52,0.6113861386138614,207,197
1,504,10,100,1e-05,0.01,0.506,0.5753968253968254,256,248
1,604,10,100,1e-05,0.01,0.514,0.6440397350993378,303,301
1,704,10,100,1e-05,0.01,0.52,0.6036931818181818,354,350
1,804,10,100,1e-05,0.01,0.528,0.6455223880597015,401,403
1,904,10,100,1e-05,0.01,0.534,0.6393805309734514,448,456
1,1004,10,100,1e-05,0.01,0.53,0.6693227091633466,499,505
1,1104,10,100,1e-05,0.01,0.516,0.6512681159420289,544,560
1,1204,10,100,1e-05,0.01,0.542,0.6818936877076412,594,610
1,1304,10,100,1e-05,0.01,0.52,0.6909509202453987,637,667
1,1404,10,100,1e-05,0.01,0.528,0.7072649572649573,686,718
1,1504,10,100,1e-05,0.01,0.51,0.6988031914893617,733,771
1,1604,10,100,1e-05,0.01,0.51,0.7206982543640897,778,826
1,1704,10,100,1e-05,0.01,0.504,0.7095070422535211,830,874
1,1804,10,100,1e-05,0.01,0.506,0.7466740576496674,877,927
1,1904,10,100,1e-05,0.01,0.51,0.6964285714285714,929,975
1,2004,10,100,1e-05,0.01,0.5,0.7130738522954092,973,1031
1,2104,10,100,1e-05,0.01,0.504,0.7400190114068441,1022,1082
1,2204,10,100,1e-05,0.01,0.54,0.7468239564428312,1064,1140
1,2304,10,100,1e-05,0.01,0.536,0.7638888888888888,1113,1191
1,2404,10,100,1e-05,0.01,0.556,0.7529118136439268,1168,1236
1,2504,10,100,1e-05,0.01,0.56,0.7559904153354633,1229,1275
1,2604,10,100,1e-05,0.01,0.562,0.7910906298003072,1271,1333
1,2704,10,100,1e-05,0.01,0.576,0.7847633136094675,1312,1392
1,2804,10,100,1e-05,0.01,0.616,0.8334522111269614,1364,1440
1,2904,10,100,1e-05,0.01,0.628,0.8271349862258953,1413,1491
1,3004,10,100,1e-05,0.01,0.636,0.8525299600532623,1463,1541
1,3104,10,100,1e-05,0.01,0.656,0.8472938144329897,1523,1581
1,3204,10,100,1e-05,0.01,0.684,0.8629837702871411,1580,1624
