trial,train_size,embed_dim,hidden_dim,alpha,learning_rate,accuracy,train_accuracy,batch_pos,batch_neg,equality_pretraining_accuracy,max_equality_pretraining_trials,equality_pretrain_max_iter,rep_pretrain_max_iter,rep_pretrain_tasks
1,0,2,50,1e-05,0.0001,0.518,0.4942226890756303,0,0,0.59,1,200,50,3
1,104,2,50,1e-05,0.0001,0.518,0.5288461538461539,47,57,0.59,1,200,50,3
1,204,2,50,1e-05,0.0001,0.518,0.5098039215686274,93,111,0.59,1,200,50,3
1,304,2,50,1e-05,0.0001,0.518,0.5296052631578947,138,166,0.59,1,200,50,3
1,404,2,50,1e-05,0.0001,0.518,0.5346534653465347,183,221,0.59,1,200,50,3
1,504,2,50,1e-05,0.0001,0.518,0.5119047619047619,241,263,0.59,1,200,50,3
1,604,2,50,1e-05,0.0001,0.518,0.5082781456953642,295,309,0.59,1,200,50,3
1,704,2,50,1e-05,0.0001,0.516,0.5028409090909091,350,354,0.59,1,200,50,3
1,804,2,50,1e-05,0.0001,0.514,0.5124378109452736,395,409,0.59,1,200,50,3
1,904,2,50,1e-05,0.0001,0.516,0.5088495575221239,447,457,0.59,1,200,50,3
1,1004,2,50,1e-05,0.0001,0.512,0.5109561752988048,493,511,0.59,1,200,50,3
1,1104,2,50,1e-05,0.0001,0.51,0.5108695652173914,541,563,0.59,1,200,50,3
1,1204,2,50,1e-05,0.0001,0.506,0.5091362126245847,593,611,0.59,1,200,50,3
1,1304,2,50,1e-05,0.0001,0.504,0.5061349693251533,648,656,0.59,1,200,50,3
1,1404,2,50,1e-05,0.0001,0.506,0.5014245014245015,699,705,0.59,1,200,50,3
1,1504,2,50,1e-05,0.0001,0.502,0.4946808510638298,758,746,0.59,1,200,50,3
1,1604,2,50,1e-05,0.0001,0.496,0.4912718204488778,806,798,0.59,1,200,50,3
1,1704,2,50,1e-05,0.0001,0.494,0.49178403755868544,861,843,0.59,1,200,50,3
1,1804,2,50,1e-05,0.0001,0.488,0.49057649667405767,911,893,0.59,1,200,50,3
1,1904,2,50,1e-05,0.0001,0.49,0.49317226890756305,957,947,0.59,1,200,50,3
2,0,2,50,1e-05,0.0001,0.494,0.5409663865546218,0,0,0.683,1,200,50,3
2,104,2,50,1e-05,0.0001,0.494,0.5576923076923077,54,50,0.683,1,200,50,3
2,204,2,50,1e-05,0.0001,0.494,0.5588235294117647,103,101,0.683,1,200,50,3
2,304,2,50,1e-05,0.0001,0.496,0.5526315789473685,162,142,0.683,1,200,50,3
2,404,2,50,1e-05,0.0001,0.496,0.551980198019802,218,186,0.683,1,200,50,3
2,504,2,50,1e-05,0.0001,0.496,0.5535714285714286,266,238,0.683,1,200,50,3
2,604,2,50,1e-05,0.0001,0.496,0.5529801324503312,321,283,0.683,1,200,50,3
2,704,2,50,1e-05,0.0001,0.496,0.5525568181818182,375,329,0.683,1,200,50,3
2,804,2,50,1e-05,0.0001,0.496,0.5509950248756219,427,377,0.683,1,200,50,3
2,904,2,50,1e-05,0.0001,0.494,0.5508849557522124,467,437,0.683,1,200,50,3
2,1004,2,50,1e-05,0.0001,0.494,0.548804780876494,521,483,0.683,1,200,50,3
